../output/v46/reference vs ../output/v46/data/	0.24381	1.26825	0.16364	0.24381	0.19584	0.19208
../output/v22/reference vs ../output/v22/data/	0.35000	1.37667	0.22857	0.35000	0.27654	0.27401
../output/v55/reference vs ../output/v55/data/	0.46667	1.31333	0.30000	0.46667	0.36522	0.35463
../output/v31/reference vs ../output/v31/data/	0.20878	0.70420	0.25000	0.20878	0.22754	0.22265
../output/v62/reference vs ../output/v62/data/	0.73333	1.25000	0.37143	0.73333	0.49310	0.48999
../output/v29/reference vs ../output/v29/data/	0.14333	0.80667	0.16667	0.14333	0.15412	0.14912
../output/v23/reference vs ../output/v23/data/	0.27548	0.58952	0.31429	0.27548	0.29360	0.28570
../output/v49/reference vs ../output/v49/data/	0.28379	0.65044	0.30000	0.28379	0.29167	0.28837
../output/v32/reference vs ../output/v32/data/	0.35089	0.87366	0.32000	0.35089	0.33474	0.32437
../output/v57/reference vs ../output/v57/data/	0.31024	1.33016	0.20000	0.31024	0.24321	0.23911
../output/v24/reference vs ../output/v24/data/	0.30566	0.83172	0.32000	0.30566	0.31266	0.30412
../output/v56/reference vs ../output/v56/data/	0.48444	0.76778	0.45714	0.48444	0.47040	0.45017
../output/v65/reference vs ../output/v65/data/	0.33225	0.87067	0.28889	0.33225	0.30906	0.30330
../output/v28/reference vs ../output/v28/data/	0.21922	0.36340	0.41818	0.21922	0.28765	0.28321
../output/v37/reference vs ../output/v37/data/	1.00000	10.00000	0.09091	1.00000	0.16667	0.16622
../output/v36/reference vs ../output/v36/data/	0.22667	2.38667	0.08571	0.22667	0.12439	0.12259
../output/v43/reference vs ../output/v43/data/	0.44017	0.76775	0.38750	0.44017	0.41216	0.40278
../output/v64/reference vs ../output/v64/data/	0.23964	0.99488	0.20000	0.23964	0.21803	0.21458
../output/v66/reference vs ../output/v66/data/	0.38333	0.55000	0.42857	0.38333	0.40469	0.40214
../output/v41/reference vs ../output/v41/data/	0.21303	0.94061	0.20000	0.21303	0.20631	0.19790
../output/v42/reference vs ../output/v42/data/	0.30159	0.68889	0.32500	0.30159	0.31286	0.31010
../output/v48/reference vs ../output/v48/data/	0.32619	1.45952	0.18333	0.32619	0.23474	0.23236
../output/v59/reference vs ../output/v59/data/	0.27351	0.58052	0.32500	0.27351	0.29704	0.29252
../output/v25/reference vs ../output/v25/data/	0.15769	0.33601	0.33333	0.15769	0.21410	0.21052
../output/v21/reference vs ../output/v21/data/	0.32121	1.53293	0.16923	0.32121	0.22167	0.21336
../output/v30/reference vs ../output/v30/data/	0.54576	0.18818	0.77143	0.54576	0.63926	0.63360
../output/v34/reference vs ../output/v34/data/	0.38000	1.02000	0.27143	0.38000	0.31667	0.31477
../output/v67/reference vs ../output/v67/data/	0.14167	1.05476	0.13333	0.14167	0.13737	0.13467
../output/v69/reference vs ../output/v69/data/	0.27833	1.16833	0.20000	0.27833	0.23275	0.22857
../output/v58/reference vs ../output/v58/data/	0.36603	0.70449	0.40000	0.36603	0.38226	0.37517
../output/v33/reference vs ../output/v33/data/	0.43139	0.70639	0.40000	0.43139	0.41510	0.40100
../output/v38/reference vs ../output/v38/data/	0.27972	1.08092	0.24000	0.27972	0.25834	0.25415
../output/v45/reference vs ../output/v45/data/	0.38095	0.92063	0.30000	0.38095	0.33566	0.32766
../output/v61/reference vs ../output/v61/data/	0.50619	1.24238	0.32500	0.50619	0.39585	0.38507
../output/v44/reference vs ../output/v44/data/	0.31111	0.69889	0.33333	0.31111	0.32184	0.31479
../output/v40/reference vs ../output/v40/data/	0.32333	0.86167	0.28889	0.32333	0.30514	0.29912
../output/v35/reference vs ../output/v35/data/	0.13950	0.57375	0.20000	0.13950	0.16436	0.15786
../output/v68/reference vs ../output/v68/data/	0.14000	1.24000	0.10000	0.14000	0.11667	0.11406
../output/v53/reference vs ../output/v53/data/	0.31667	1.18333	0.23333	0.31667	0.26869	0.26257
../output/v47/reference vs ../output/v47/data/	0.32000	1.08000	0.22857	0.32000	0.26667	0.26469
../output/v39/reference vs ../output/v39/data/	0.60901	0.78026	0.44706	0.60901	0.51562	0.51270
../output/v54/reference vs ../output/v54/data/	0.49071	0.86571	0.37778	0.49071	0.42690	0.42327
../output/v70/reference vs ../output/v70/data/	0.37000	0.68000	0.36000	0.37000	0.36493	0.36224
../output/v52/reference vs ../output/v52/data/	0.44603	1.06349	0.30000	0.44603	0.35872	0.35660
../output/v63/reference vs ../output/v63/data/	0.05357	0.92143	0.05714	0.05357	0.05530	0.05233
../output/v60/reference vs ../output/v60/data/	0.23159	0.63897	0.28571	0.23159	0.25582	0.25193
../output/v26/reference vs ../output/v26/data/	0.34405	0.96548	0.32000	0.34405	0.33159	0.32005
../output/v50/reference vs ../output/v50/data/	0.42889	1.90000	0.20000	0.42889	0.27279	0.26946
../output/v51/reference vs ../output/v51/data/	0.33095	0.93333	0.26667	0.33095	0.29535	0.29259
