output/v46/reference vs output/v46/data/	0,41714	0,54508	0,42857	0,41714	0,42278	0,41693
output/v22/reference vs output/v22/data/	0,31000	0,92333	0,28000	0,31000	0,29424	0,29185
output/v27/reference vs output/v27/data/	0,24881	0,54762	0,40000	0,24881	0,30679	0,29297
output/v55/reference vs output/v55/data/	0,23000	0,36333	0,40000	0,23000	0,29206	0,27989
output/v31/reference vs output/v31/data/	0,49178	0,30707	0,65714	0,49178	0,56256	0,55002
output/v62/reference vs output/v62/data/	0,71667	1,26667	0,37143	0,71667	0,48928	0,48636
output/v29/reference vs output/v29/data/	0,42667	0,36500	0,60000	0,42667	0,49870	0,48769
output/v23/reference vs output/v23/data/	0,66286	0,57286	0,56000	0,66286	0,60710	0,59619
output/v49/reference vs output/v49/data/	0,93753	0,77521	0,55455	0,93753	0,69689	0,69363
output/v32/reference vs output/v32/data/	0,54584	0,43380	0,60000	0,54584	0,57164	0,55691
output/v57/reference vs output/v57/data/	0,57008	0,47381	0,57143	0,57008	0,57075	0,56507
output/v24/reference vs output/v24/data/	0,59576	0,54162	0,58000	0,59576	0,58777	0,57294
output/v56/reference vs output/v56/data/	0,62500	0,44833	0,70000	0,62500	0,66038	0,64255
output/v65/reference vs output/v65/data/	0,40758	0,39437	0,53333	0,40758	0,46205	0,45552
output/v28/reference vs output/v28/data/	0,56054	0,18098	0,78571	0,56054	0,65430	0,64706
output/v37/reference vs output/v37/data/	1,00000	2,00000	0,33333	1,00000	0,50000	0,49978
output/v36/reference vs output/v36/data/	0,81333	1,24000	0,40000	0,81333	0,53626	0,53450
output/v43/reference vs output/v43/data/	0,80963	1,30423	0,42143	0,80963	0,55432	0,54494
output/v64/reference vs output/v64/data/	0,42345	0,44798	0,50000	0,42345	0,45855	0,45427
output/v66/reference vs output/v66/data/	0,49167	0,30833	0,63333	0,49167	0,55358	0,55103
output/v41/reference vs output/v41/data/	0,83515	0,95939	0,52857	0,83515	0,64740	0,63010
output/v42/reference vs output/v42/data/	0,84762	0,88571	0,50000	0,84762	0,62898	0,62550
output/v48/reference vs output/v48/data/	0,59524	1,33929	0,30769	0,59524	0,40568	0,40317
output/v59/reference vs output/v59/data/	0,54338	0,20390	0,74286	0,54338	0,62765	0,62265
output/v25/reference vs output/v25/data/	0,23019	0,18124	0,56000	0,23019	0,32626	0,32331
output/v21/reference vs output/v21/data/	0,44646	0,83717	0,37778	0,44646	0,40926	0,39694
output/v30/reference vs output/v30/data/	0,59076	0,14318	0,82857	0,59076	0,68974	0,68401
output/v34/reference vs output/v34/data/	0,86000	0,84000	0,50588	0,86000	0,63704	0,63595
output/v67/reference vs output/v67/data/	0,57262	0,22500	0,73333	0,57262	0,64309	0,64045
output/v69/reference vs output/v69/data/	0,34278	0,26000	0,60000	0,34278	0,43630	0,43304
output/v58/reference vs output/v58/data/	0,30321	0,23205	0,64000	0,30321	0,41147	0,40458
output/v33/reference vs output/v33/data/	0,50361	0,42083	0,58462	0,50361	0,54110	0,52613
output/v38/reference vs output/v38/data/	0,40400	0,41239	0,55556	0,40400	0,46781	0,46142
output/v45/reference vs output/v45/data/	0,78095	1,17143	0,41667	0,78095	0,54341	0,53316
output/v61/reference vs output/v61/data/	0,95000	1,67286	0,40000	0,95000	0,56296	0,55207
output/v44/reference vs output/v44/data/	0,63444	0,48778	0,58000	0,63444	0,60600	0,59594
output/v40/reference vs output/v40/data/	0,92667	1,44333	0,41111	0,92667	0,56955	0,56197
output/v35/reference vs output/v35/data/	0,79988	0,72851	0,57333	0,79988	0,66792	0,65290
output/v68/reference vs output/v68/data/	0,65000	0,27000	0,70000	0,65000	0,67407	0,67151
output/v53/reference vs output/v53/data/	0,66667	0,83333	0,46667	0,66667	0,54902	0,54106
output/v47/reference vs output/v47/data/	0,92000	0,48000	0,65714	0,92000	0,76667	0,76604
output/v39/reference vs output/v39/data/	0,56396	0,49842	0,53846	0,56396	0,55091	0,54798
output/v54/reference vs output/v54/data/	0,49786	0,55714	0,48571	0,49786	0,49171	0,48832
output/v70/reference vs output/v70/data/	0,60000	0,45000	0,56000	0,60000	0,57931	0,57628
output/v52/reference vs output/v52/data/	0,65397	1,10714	0,37143	0,65397	0,47377	0,47162
output/v63/reference vs output/v63/data/	0,50357	0,19286	0,72000	0,50357	0,59264	0,59126
output/v60/reference vs output/v60/data/	0,75262	0,49103	0,62000	0,75262	0,67990	0,67488
output/v26/reference vs output/v26/data/	0,05238	0,20952	0,30000	0,05238	0,08919	0,08822
output/v50/reference vs output/v50/data/	0,95278	1,23056	0,45333	0,95278	0,61436	0,60772
output/v51/reference vs output/v51/data/	0,80595	1,30119	0,38667	0,80595	0,52261	0,51974
