../output/v46/reference vs ../output/v46/data/	0.75365	0.75841	0.52727	0.75365	0.62046	0.61303
../output/v22/reference vs ../output/v22/data/	0.57333	0.16667	0.80000	0.57333	0.66796	0.66135
../output/v55/reference vs ../output/v55/data/	0.87000	1.20667	0.45714	0.87000	0.59935	0.58354
../output/v31/reference vs ../output/v31/data/	0.41099	0.50198	0.50000	0.41099	0.45115	0.44250
../output/v62/reference vs ../output/v62/data/	0.78333	0.06667	0.93333	0.78333	0.85178	0.84743
../output/v29/reference vs ../output/v29/data/	0.41500	0.21833	0.70000	0.41500	0.52108	0.51083
../output/v23/reference vs ../output/v23/data/	0.64143	0.84143	0.45000	0.64143	0.52893	0.51940
../output/v49/reference vs ../output/v49/data/	0.38872	0.38980	0.50000	0.38872	0.43740	0.43414
../output/v32/reference vs ../output/v32/data/	0.85509	0.85929	0.54286	0.85509	0.66410	0.64737
../output/v57/reference vs ../output/v57/data/	0.55651	3.46992	0.14074	0.55651	0.22466	0.22071
../output/v24/reference vs ../output/v24/data/	0.67616	1.14364	0.40000	0.67616	0.50265	0.48859
../output/v56/reference vs ../output/v56/data/	0.58944	1.19944	0.38000	0.58944	0.46210	0.44503
../output/v65/reference vs ../output/v65/data/	0.68117	0.38810	0.67500	0.68117	0.67807	0.66990
../output/v28/reference vs ../output/v28/data/	0.48459	0.30989	0.64000	0.48459	0.55156	0.54496
../output/v37/reference vs ../output/v37/data/	1.00000	4.00000	0.20000	1.00000	0.33333	0.33301
../output/v36/reference vs ../output/v36/data/	0.62667	1.24000	0.34000	0.62667	0.44083	0.43907
../output/v43/reference vs ../output/v43/data/	0.57683	0.17811	0.80000	0.57683	0.67033	0.65574
../output/v64/reference vs ../output/v64/data/	0.84143	1.99071	0.30769	0.84143	0.45061	0.44627
../output/v66/reference vs ../output/v66/data/	0.47500	0.19167	0.72000	0.47500	0.57238	0.56945
../output/v41/reference vs ../output/v41/data/	0.76545	1.15727	0.44000	0.76545	0.55879	0.54312
../output/v42/reference vs ../output/v42/data/	0.32063	0.91746	0.26000	0.32063	0.28715	0.28366
../output/v48/reference vs ../output/v48/data/	0.52500	0.21905	0.72000	0.52500	0.60723	0.60475
../output/v59/reference vs ../output/v59/data/	0.63195	0.22208	0.75000	0.63195	0.68593	0.68056
../output/v25/reference vs ../output/v25/data/	0.47832	0.17995	0.72500	0.47832	0.57638	0.57354
../output/v21/reference vs ../output/v21/data/	0.75879	3.09212	0.22222	0.75879	0.34377	0.33606
../output/v30/reference vs ../output/v30/data/	0.36939	0.15485	0.72000	0.36939	0.48828	0.48353
../output/v34/reference vs ../output/v34/data/	0.30000	0.00000	1.00000	0.30000	0.46154	0.46095
../output/v67/reference vs ../output/v67/data/	0.42103	0.24365	0.64000	0.42103	0.50792	0.50550
../output/v69/reference vs ../output/v69/data/	0.46389	0.25944	0.66667	0.46389	0.54709	0.54150
../output/v58/reference vs ../output/v58/data/	0.79679	0.59487	0.61538	0.79679	0.69444	0.67998
../output/v33/reference vs ../output/v33/data/	0.41389	0.36833	0.60000	0.41389	0.48986	0.47834
../output/v38/reference vs ../output/v38/data/	0.80430	1.00989	0.47000	0.80430	0.59330	0.58411
../output/v45/reference vs ../output/v45/data/	0.73571	0.40317	0.68571	0.73571	0.70983	0.69784
../output/v61/reference vs ../output/v61/data/	0.66952	0.86048	0.48571	0.66952	0.56300	0.55092
../output/v44/reference vs ../output/v44/data/	0.64333	0.14222	0.85714	0.64333	0.73500	0.72545
../output/v40/reference vs ../output/v40/data/	0.64000	0.54500	0.55556	0.64000	0.59480	0.58557
../output/v35/reference vs ../output/v35/data/	0.73926	1.19670	0.41053	0.73926	0.52790	0.51498
../output/v68/reference vs ../output/v68/data/	0.68000	2.31000	0.23077	0.68000	0.34459	0.34159
../output/v53/reference vs ../output/v53/data/	0.75000	1.50000	0.35556	0.75000	0.48241	0.47539
../output/v47/reference vs ../output/v47/data/	0.40000	0.20000	0.66667	0.40000	0.50000	0.49913
../output/v39/reference vs ../output/v39/data/	0.69993	0.36245	0.66154	0.69993	0.68019	0.67718
../output/v54/reference vs ../output/v54/data/	0.71000	0.64643	0.53333	0.71000	0.60912	0.60441
../output/v70/reference vs ../output/v70/data/	0.58000	0.89000	0.40000	0.58000	0.47347	0.47060
../output/v52/reference vs ../output/v52/data/	0.62262	0.13214	0.83333	0.62262	0.71273	0.71110
../output/v63/reference vs ../output/v63/data/	0.66429	0.58929	0.53333	0.66429	0.59165	0.58976
../output/v60/reference vs ../output/v60/data/	0.64183	0.47746	0.57778	0.64183	0.60812	0.60345
../output/v26/reference vs ../output/v26/data/	0.57500	0.73452	0.51000	0.57500	0.54055	0.51963
../output/v50/reference vs ../output/v50/data/	0.85444	1.03778	0.47692	0.85444	0.61216	0.60555
../output/v51/reference vs ../output/v51/data/	0.35952	0.20238	0.65000	0.35952	0.46297	0.46088
