../output/v46/reference vs ../output/v46/data/	0.95778	0.27937	0.80000	0.95778	0.87181	0.86195
../output/v22/reference vs ../output/v22/data/	0.76333	0.22333	0.80000	0.76333	0.78124	0.77498
../output/v55/reference vs ../output/v55/data/	0.80333	0.38333	0.75000	0.80333	0.77575	0.75267
../output/v31/reference vs ../output/v31/data/	0.57964	0.33333	0.70000	0.57964	0.63416	0.62295
../output/v62/reference vs ../output/v62/data/	0.78333	0.06667	0.93333	0.78333	0.85178	0.84743
../output/v29/reference vs ../output/v29/data/	0.86167	0.40500	0.72500	0.86167	0.78745	0.77176
../output/v23/reference vs ../output/v23/data/	0.79310	0.81333	0.52308	0.79310	0.63039	0.61889
../output/v49/reference vs ../output/v49/data/	0.62228	0.07839	0.88889	0.62228	0.73207	0.72894
../output/v32/reference vs ../output/v32/data/	0.89549	0.45152	0.72727	0.89549	0.80266	0.78327
../output/v57/reference vs ../output/v57/data/	0.91944	0.27357	0.80000	0.91944	0.85557	0.84629
../output/v24/reference vs ../output/v24/data/	0.63061	0.39303	0.68889	0.63061	0.65846	0.64304
../output/v56/reference vs ../output/v56/data/	0.69444	0.20000	0.88000	0.69444	0.77629	0.74998
../output/v65/reference vs ../output/v65/data/	0.82316	0.51342	0.64000	0.82316	0.72012	0.71123
../output/v28/reference vs ../output/v28/data/	0.66482	0.18263	0.82500	0.66482	0.73630	0.72909
../output/v37/reference vs ../output/v37/data/	1.00000	2.00000	0.33333	1.00000	0.50000	0.49978
../output/v36/reference vs ../output/v36/data/	0.59333	0.90000	0.40000	0.59333	0.47785	0.47613
../output/v43/reference vs ../output/v43/data/	0.61527	0.13968	0.86000	0.61527	0.71733	0.70267
../output/v64/reference vs ../output/v64/data/	0.70048	0.24357	0.75385	0.70048	0.72618	0.72010
../output/v66/reference vs ../output/v66/data/	0.86667	0.33333	0.73333	0.86667	0.79444	0.79139
../output/v41/reference vs ../output/v41/data/	0.75061	0.14667	0.88571	0.75061	0.81258	0.78755
../output/v42/reference vs ../output/v42/data/	0.44444	0.05079	0.90000	0.44444	0.59504	0.59219
../output/v48/reference vs ../output/v48/data/	0.91786	0.12381	0.88571	0.91786	0.90150	0.89857
../output/v59/reference vs ../output/v59/data/	0.75688	0.09714	0.90000	0.75688	0.82226	0.81656
../output/v25/reference vs ../output/v25/data/	0.60676	0.13380	0.82222	0.60676	0.69825	0.69583
../output/v21/reference vs ../output/v21/data/	0.56727	1.14424	0.36667	0.56727	0.44543	0.43280
../output/v30/reference vs ../output/v30/data/	0.77061	0.06818	0.92500	0.77061	0.84077	0.83433
../output/v34/reference vs ../output/v34/data/	0.70000	0.00000	1.00000	0.70000	0.82353	0.82318
../output/v67/reference vs ../output/v67/data/	0.77262	0.02500	0.96667	0.77262	0.85882	0.85634
../output/v69/reference vs ../output/v69/data/	0.72722	0.11667	0.88571	0.72722	0.79868	0.79115
../output/v58/reference vs ../output/v58/data/	0.70641	0.25705	0.77778	0.70641	0.74038	0.72393
../output/v33/reference vs ../output/v33/data/	0.41639	0.50806	0.50769	0.41639	0.45753	0.44647
../output/v38/reference vs ../output/v38/data/	0.57023	0.24615	0.71111	0.57023	0.63293	0.62194
../output/v45/reference vs ../output/v45/data/	0.72857	0.24762	0.76667	0.72857	0.74713	0.73213
../output/v61/reference vs ../output/v61/data/	0.75762	0.11667	0.90000	0.75762	0.82269	0.80428
../output/v44/reference vs ../output/v44/data/	0.68000	0.21778	0.80000	0.68000	0.73514	0.72564
../output/v40/reference vs ../output/v40/data/	0.62000	0.69667	0.48000	0.62000	0.54109	0.53249
../output/v35/reference vs ../output/v35/data/	0.69481	0.22222	0.82222	0.69481	0.75317	0.73498
../output/v68/reference vs ../output/v68/data/	0.65000	0.04000	0.93333	0.65000	0.76632	0.76385
../output/v53/reference vs ../output/v53/data/	0.83333	0.16667	0.85000	0.83333	0.84158	0.83106
../output/v47/reference vs ../output/v47/data/	0.80000	0.00000	1.00000	0.80000	0.88889	0.88866
../output/v39/reference vs ../output/v39/data/	0.49033	0.00000	1.00000	0.49033	0.65802	0.65543
../output/v54/reference vs ../output/v54/data/	0.86071	0.19429	0.82857	0.86071	0.84434	0.83867
../output/v70/reference vs ../output/v70/data/	0.71000	0.34000	0.68000	0.71000	0.69468	0.69227
../output/v52/reference vs ../output/v52/data/	0.75476	0.00000	1.00000	0.75476	0.86024	0.85863
../output/v63/reference vs ../output/v63/data/	0.63929	0.19643	0.76667	0.63929	0.69721	0.69584
../output/v60/reference vs ../output/v60/data/	0.83698	0.28230	0.75556	0.83698	0.79419	0.78930
../output/v26/reference vs ../output/v26/data/	0.56429	0.22143	0.81667	0.56429	0.66741	0.63903
../output/v50/reference vs ../output/v50/data/	0.87222	0.14667	0.88571	0.87222	0.87892	0.86866
../output/v51/reference vs ../output/v51/data/	0.35952	0.20238	0.65000	0.35952	0.46297	0.46088
