../output/v46/reference vs ../output/v46/data/	0.21302	0.88667	0.20000	0.21302	0.20630	0.20217
../output/v22/reference vs ../output/v22/data/	0.08000	0.90667	0.10000	0.08000	0.08889	0.08715
../output/v27/reference vs ../output/v27/data/	0.17440	0.75476	0.25714	0.17440	0.20784	0.19781
../output/v55/reference vs ../output/v55/data/	0.28667	0.60333	0.40000	0.28667	0.33398	0.32974
../output/v31/reference vs ../output/v31/data/	0.31055	0.37418	0.46667	0.31055	0.37293	0.36402
../output/v62/reference vs ../output/v62/data/	0.40000	0.73333	0.35000	0.40000	0.37333	0.37052
../output/v29/reference vs ../output/v29/data/	0.32833	0.78000	0.34286	0.32833	0.33544	0.32614
../output/v23/reference vs ../output/v23/data/	0.41429	0.45071	0.51429	0.41429	0.45890	0.44972
../output/v49/reference vs ../output/v49/data/	0.30569	0.47283	0.40000	0.30569	0.34655	0.34341
../output/v32/reference vs ../output/v32/data/	0.07117	0.29619	0.26667	0.07117	0.11236	0.11046
../output/v57/reference vs ../output/v57/data/	0.15635	0.88754	0.17143	0.15635	0.16354	0.16101
../output/v24/reference vs ../output/v24/data/	0.05152	0.63091	0.10000	0.05152	0.06800	0.06424
../output/v56/reference vs ../output/v56/data/	0.18611	0.70833	0.24000	0.18611	0.20965	0.19756
../output/v65/reference vs ../output/v65/data/	0.37284	0.69643	0.40000	0.37284	0.38594	0.37886
../output/v28/reference vs ../output/v28/data/	0.15189	0.16590	0.46667	0.15189	0.22919	0.22518
../output/v37/reference vs ../output/v37/data/	1.00000	3.00000	0.25000	1.00000	0.40000	0.39972
../output/v36/reference vs ../output/v36/data/	0.11333	1.00667	0.10000	0.11333	0.10625	0.10486
../output/v43/reference vs ../output/v43/data/	0.29970	0.45525	0.46000	0.29970	0.36294	0.35811
../output/v64/reference vs ../output/v64/data/	0.24381	0.55500	0.32727	0.24381	0.27944	0.27683
../output/v66/reference vs ../output/v66/data/	0.61667	0.45000	0.60000	0.61667	0.60822	0.60578
../output/v41/reference vs ../output/v41/data/	0.23788	0.78758	0.27500	0.23788	0.25510	0.24698
../output/v42/reference vs ../output/v42/data/	0.27937	0.33968	0.48000	0.27937	0.35318	0.35089
../output/v48/reference vs ../output/v48/data/	0.06667	0.97500	0.05714	0.06667	0.06154	0.05979
../output/v59/reference vs ../output/v59/data/	0.16312	0.69091	0.20000	0.16312	0.17969	0.17533
../output/v25/reference vs ../output/v25/data/	0.16049	0.16865	0.50000	0.16049	0.24299	0.24030
../output/v21/reference vs ../output/v21/data/	0.10222	0.04040	0.60000	0.10222	0.17468	0.17289
../output/v30/reference vs ../output/v30/data/	0.44742	0.28652	0.62857	0.44742	0.52275	0.51724
../output/v34/reference vs ../output/v34/data/	0.30000	0.40000	0.42857	0.30000	0.35294	0.35167
../output/v67/reference vs ../output/v67/data/	0.48333	0.44722	0.54286	0.48333	0.51137	0.50871
../output/v69/reference vs ../output/v69/data/	0.20556	0.39722	0.36000	0.20556	0.26169	0.25853
../output/v58/reference vs ../output/v58/data/	0.28526	0.57115	0.37500	0.28526	0.32403	0.31695
../output/v33/reference vs ../output/v33/data/	0.04472	0.38194	0.13333	0.04472	0.06698	0.06447
../output/v38/reference vs ../output/v38/data/	0.25784	0.46783	0.40000	0.25784	0.31356	0.30920
../output/v45/reference vs ../output/v45/data/	0.02857	0.45952	0.06667	0.02857	0.04000	0.03839
../output/v61/reference vs ../output/v61/data/	0.40571	0.68714	0.40000	0.40571	0.40284	0.39143
../output/v44/reference vs ../output/v44/data/	0.14889	0.41222	0.28000	0.14889	0.19440	0.18984
../output/v40/reference vs ../output/v40/data/	0.06500	0.72500	0.10000	0.06500	0.07879	0.07646
../output/v35/reference vs ../output/v35/data/	0.14029	0.47106	0.26667	0.14029	0.18386	0.17724
../output/v68/reference vs ../output/v68/data/	0.56000	0.36000	0.60000	0.56000	0.57931	0.57686
../output/v53/reference vs ../output/v53/data/	0.40000	0.85000	0.32000	0.40000	0.35556	0.34894
../output/v47/reference vs ../output/v47/data/	0.28000	0.72000	0.28000	0.28000	0.28000	0.27833
../output/v39/reference vs ../output/v39/data/	0.14344	0.26516	0.36000	0.14344	0.20515	0.20364
../output/v54/reference vs ../output/v54/data/	0.13929	0.76500	0.16667	0.13929	0.15175	0.14979
../output/v70/reference vs ../output/v70/data/	0.38000	0.67000	0.36000	0.38000	0.36973	0.36668
../output/v52/reference vs ../output/v52/data/	0.14802	0.35516	0.30000	0.14802	0.19823	0.19672
../output/v63/reference vs ../output/v63/data/	0.19286	0.64286	0.23333	0.19286	0.21117	0.20875
../output/v60/reference vs ../output/v60/data/	0.34810	0.64683	0.35000	0.34810	0.34905	0.34473
../output/v26/reference vs ../output/v26/data/	0.14643	0.31190	0.37143	0.14643	0.21005	0.20284
../output/v50/reference vs ../output/v50/data/	0.09444	0.77889	0.13333	0.09444	0.11057	0.10929
../output/v51/reference vs ../output/v51/data/	0.45000	0.67381	0.40000	0.45000	0.42353	0.42089
