../output/v46/reference vs ../output/v46/data/	0.17556	1.06159	0.13333	0.17556	0.15156	0.14799
../output/v22/reference vs ../output/v22/data/	0.04000	0.20667	0.20000	0.04000	0.06667	0.06596
../output/v27/reference vs ../output/v27/data/	0.16607	1.42679	0.10000	0.16607	0.12483	0.11933
../output/v55/reference vs ../output/v55/data/	0.00000	1.18667	0.00000	0.00000	-1.00000	-0.00219
../output/v31/reference vs ../output/v31/data/	0.08912	0.25324	0.26667	0.08912	0.13360	0.12979
../output/v62/reference vs ../output/v62/data/	0.16667	0.96667	0.15000	0.16667	0.15789	0.15593
../output/v29/reference vs ../output/v29/data/	0.02000	0.13833	0.20000	0.02000	0.03636	0.03551
../output/v23/reference vs ../output/v23/data/	0.04167	0.45262	0.10000	0.04167	0.05882	0.05545
../output/v49/reference vs ../output/v49/data/	0.00000	0.23356	0.00000	0.00000	-1.00000	-0.00135
../output/v32/reference vs ../output/v32/data/	0.15625	1.19075	0.14545	0.15625	0.15066	0.14505
../output/v57/reference vs ../output/v57/data/	0.14913	2.98254	0.04762	0.14913	0.07219	0.06880
../output/v24/reference vs ../output/v24/data/	0.10818	0.46051	0.20000	0.10818	0.14041	0.13248
../output/v56/reference vs ../output/v56/data/	0.05000	0.84444	0.08000	0.05000	0.06154	0.05933
../output/v65/reference vs ../output/v65/data/	0.19080	0.34383	0.35000	0.19080	0.24697	0.24400
../output/v28/reference vs ../output/v28/data/	0.05214	0.21269	0.20000	0.05214	0.08271	0.08004
../output/v37/reference vs ../output/v37/data/	0.00000	3.00000	0.00000	0.00000	-1.00000	-0.00044
../output/v36/reference vs ../output/v36/data/	0.03333	1.27333	0.02857	0.03333	0.03077	0.02937
../output/v43/reference vs ../output/v43/data/	0.01333	0.13766	0.10000	0.01333	0.02353	0.02282
../output/v64/reference vs ../output/v64/data/	0.23702	2.23202	0.10000	0.23702	0.14066	0.13677
../output/v66/reference vs ../output/v66/data/	0.00000	0.40000	0.00000	0.00000	-1.00000	-0.00197
../output/v41/reference vs ../output/v41/data/	0.12818	1.28182	0.09091	0.12818	0.10637	0.10004
../output/v42/reference vs ../output/v42/data/	0.12381	2.10476	0.05556	0.12381	0.07670	0.07255
../output/v48/reference vs ../output/v48/data/	0.00000	0.44643	0.00000	0.00000	-1.00000	-0.00112
../output/v59/reference vs ../output/v59/data/	0.00000	0.42701	0.00000	0.00000	-1.00000	-0.00268
../output/v25/reference vs ../output/v25/data/	0.08228	0.00000	1.00000	0.08228	0.15206	0.15114
../output/v21/reference vs ../output/v21/data/	0.10303	3.17737	0.04348	0.10303	0.06115	0.05780
../output/v30/reference vs ../output/v30/data/	0.00000	0.20970	0.00000	0.00000	-1.00000	-0.00183
../output/v34/reference vs ../output/v34/data/	0.08000	0.22000	0.26667	0.08000	0.12308	0.12211
../output/v67/reference vs ../output/v67/data/	0.00000	0.26587	0.00000	0.00000	-1.00000	-0.00116
../output/v69/reference vs ../output/v69/data/	0.02000	0.34167	0.06667	0.02000	0.03077	0.02959
../output/v58/reference vs ../output/v58/data/	0.01538	0.41282	0.05000	0.01538	0.02353	0.02180
../output/v33/reference vs ../output/v33/data/	0.06861	0.42917	0.14286	0.06861	0.09270	0.08703
../output/v38/reference vs ../output/v38/data/	0.18142	1.26993	0.12500	0.18142	0.14802	0.14281
../output/v45/reference vs ../output/v45/data/	0.02857	0.29683	0.10000	0.02857	0.04444	0.04325
../output/v61/reference vs ../output/v61/data/	0.06667	0.37048	0.10000	0.06667	0.08000	0.07885
../output/v44/reference vs ../output/v44/data/	0.00000	0.11222	0.00000	0.00000	-1.00000	-0.00074
../output/v40/reference vs ../output/v40/data/	0.00000	0.26333	0.00000	0.00000	-1.00000	-0.00108
../output/v35/reference vs ../output/v35/data/	0.09267	1.53761	0.07500	0.09267	0.08291	0.07789
../output/v68/reference vs ../output/v68/data/	0.23000	3.22000	0.06667	0.23000	0.10337	0.10002
../output/v53/reference vs ../output/v53/data/	0.21667	2.03333	0.11111	0.21667	0.14689	0.14310
../output/v47/reference vs ../output/v47/data/	0.00000	0.20000	0.00000	0.00000	-1.00000	-0.00077
../output/v39/reference vs ../output/v39/data/	0.01429	0.06744	0.20000	0.01429	0.02667	0.02632
../output/v54/reference vs ../output/v54/data/	0.02500	1.18071	0.02500	0.02500	0.02500	0.02253
../output/v70/reference vs ../output/v70/data/	0.16000	0.89000	0.16000	0.16000	0.16000	0.15708
../output/v52/reference vs ../output/v52/data/	0.00000	0.37738	0.00000	0.00000	-1.00000	-0.00121
../output/v63/reference vs ../output/v63/data/	0.11071	0.58571	0.16000	0.11071	0.13087	0.12855
../output/v60/reference vs ../output/v60/data/	0.07579	0.67040	0.10000	0.07579	0.08623	0.08298
../output/v26/reference vs ../output/v26/data/	0.04881	0.27857	0.20000	0.04881	0.07847	0.07670
../output/v50/reference vs ../output/v50/data/	0.04444	0.68333	0.08000	0.04444	0.05714	0.05601
../output/v51/reference vs ../output/v51/data/	0.05833	0.36310	0.13333	0.05833	0.08116	0.07948
