../output/v46/reference vs ../output/v46/data/	0.65175	1.82254	0.27778	0.65175	0.38953	0.38430
../output/v22/reference vs ../output/v22/data/	0.62333	0.61000	0.52000	0.62333	0.56700	0.56129
../output/v27/reference vs ../output/v27/data/	0.56012	2.36012	0.20909	0.56012	0.30451	0.29292
../output/v55/reference vs ../output/v55/data/	0.87000	2.39333	0.29091	0.87000	0.43602	0.42547
../output/v31/reference vs ../output/v31/data/	0.67131	0.81228	0.47692	0.67131	0.55766	0.54592
../output/v62/reference vs ../output/v62/data/	0.90000	1.36667	0.40000	0.90000	0.55385	0.55067
../output/v29/reference vs ../output/v29/data/	0.68500	1.05667	0.41818	0.68500	0.51932	0.50714
../output/v23/reference vs ../output/v23/data/	0.85643	1.36786	0.40000	0.85643	0.54531	0.53499
../output/v49/reference vs ../output/v49/data/	0.81334	0.97726	0.46087	0.81334	0.58836	0.58484
../output/v32/reference vs ../output/v32/data/	0.72603	1.72308	0.35000	0.72603	0.47231	0.46199
../output/v57/reference vs ../output/v57/data/	0.54897	2.58270	0.18095	0.54897	0.27219	0.26787
../output/v24/reference vs ../output/v24/data/	0.81293	1.34808	0.43158	0.81293	0.56383	0.55277
../output/v56/reference vs ../output/v56/data/	0.53000	1.25889	0.38000	0.53000	0.44264	0.43090
../output/v65/reference vs ../output/v65/data/	0.73268	0.87121	0.48333	0.73268	0.58244	0.57453
../output/v28/reference vs ../output/v28/data/	0.70208	0.56909	0.57500	0.70208	0.63222	0.62456
../output/v37/reference vs ../output/v37/data/	0.00000	6.00000	0.00000	0.00000	-1.00000	-0.00050
../output/v36/reference vs ../output/v36/data/	0.58667	3.33333	0.15238	0.58667	0.24192	0.24006
../output/v43/reference vs ../output/v43/data/	0.81175	1.52859	0.37419	0.81175	0.51225	0.50275
../output/v64/reference vs ../output/v64/data/	0.69536	1.55583	0.32258	0.69536	0.44071	0.43643
../output/v66/reference vs ../output/v66/data/	0.53333	0.80000	0.42000	0.53333	0.46993	0.46739
../output/v41/reference vs ../output/v41/data/	0.82364	1.74000	0.37000	0.82364	0.51062	0.49798
../output/v42/reference vs ../output/v42/data/	0.40317	0.83492	0.34000	0.40317	0.36890	0.36570
../output/v48/reference vs ../output/v48/data/	0.37976	0.66190	0.37143	0.37976	0.37555	0.37335
../output/v59/reference vs ../output/v59/data/	0.81688	0.78442	0.52000	0.81688	0.63548	0.63014
../output/v25/reference vs ../output/v25/data/	0.49371	0.41142	0.54545	0.49371	0.51829	0.51466
../output/v21/reference vs ../output/v21/data/	0.95556	4.32162	0.20000	0.95556	0.33077	0.32350
../output/v30/reference vs ../output/v30/data/	0.57712	0.47136	0.58000	0.57712	0.57856	0.57296
../output/v34/reference vs ../output/v34/data/	0.16000	0.14000	0.53333	0.16000	0.24615	0.24533
../output/v67/reference vs ../output/v67/data/	0.41468	0.38294	0.53333	0.41468	0.46658	0.46389
../output/v69/reference vs ../output/v69/data/	0.54889	1.25944	0.32000	0.54889	0.40430	0.39960
../output/v58/reference vs ../output/v58/data/	0.90128	1.13269	0.48421	0.90128	0.62997	0.61801
../output/v33/reference vs ../output/v33/data/	0.83667	1.79444	0.35135	0.83667	0.49488	0.48355
../output/v38/reference vs ../output/v38/data/	0.78781	1.29850	0.40000	0.78781	0.53060	0.52215
../output/v45/reference vs ../output/v45/data/	0.55714	1.39524	0.31667	0.55714	0.40381	0.39618
../output/v61/reference vs ../output/v61/data/	0.71286	1.47286	0.36000	0.71286	0.47840	0.46843
../output/v44/reference vs ../output/v44/data/	0.52111	0.71333	0.45455	0.52111	0.48556	0.47739
../output/v40/reference vs ../output/v40/data/	0.61833	1.62000	0.29412	0.61833	0.39862	0.39215
../output/v35/reference vs ../output/v35/data/	0.82271	1.11325	0.47368	0.82271	0.60121	0.58797
../output/v68/reference vs ../output/v68/data/	0.60000	2.16000	0.21667	0.60000	0.31837	0.31539
../output/v53/reference vs ../output/v53/data/	0.73333	3.01667	0.21333	0.73333	0.33052	0.32489
../output/v47/reference vs ../output/v47/data/	0.68000	0.52000	0.56667	0.68000	0.61818	0.61722
../output/v39/reference vs ../output/v39/data/	0.78784	1.09176	0.42609	0.78784	0.55306	0.55010
../output/v54/reference vs ../output/v54/data/	0.76357	1.19571	0.40000	0.76357	0.52498	0.52076
../output/v70/reference vs ../output/v70/data/	0.91000	2.87000	0.24444	0.91000	0.38537	0.38167
../output/v52/reference vs ../output/v52/data/	0.43968	0.81825	0.36000	0.43968	0.39587	0.39399
../output/v63/reference vs ../output/v63/data/	0.75357	1.19643	0.38571	0.75357	0.51026	0.50793
../output/v60/reference vs ../output/v60/data/	0.84706	1.26714	0.41176	0.84706	0.55415	0.54941
../output/v26/reference vs ../output/v26/data/	0.72857	2.02143	0.32381	0.72857	0.44835	0.43518
../output/v50/reference vs ../output/v50/data/	0.73500	2.03056	0.27368	0.73500	0.39885	0.39405
../output/v51/reference vs ../output/v51/data/	0.69048	1.13571	0.38462	0.69048	0.49404	0.49119
