0.1	0.78	0.15	5	3		cusA = 0.69206	cusE = 4.63175	precision = 0.13023	recall = 0.69206	f-meter = 0.21921	kappa = 0.21464
0.1	0.78	0.15	10	3		cusA = 0.66984	cusE = 4.77778	precision = 0.12273	recall = 0.66984	f-meter = 0.20745	kappa = 0.20282
0.1	0.78	0.15	15	3		cusA = 0.69206	cusE = 4.75556	precision = 0.12727	recall = 0.69206	f-meter = 0.21501	kappa = 0.21041
0.1	0.78	0.15	20	3		cusA = 0.69206	cusE = 4.75556	precision = 0.12727	recall = 0.69206	f-meter = 0.21501	kappa = 0.21041
0.1	0.78	0.15	25	3		cusA = 0.66984	cusE = 4.77778	precision = 0.12273	recall = 0.66984	f-meter = 0.20745	kappa = 0.20282
0.1	0.78	0.15	30	3		cusA = 0.64762	cusE = 4.92381	precision = 0.11556	recall = 0.64762	f-meter = 0.19612	kappa = 0.19144
0.1	0.78	0.15	35	3		cusA = 0.64762	cusE = 4.92381	precision = 0.11556	recall = 0.64762	f-meter = 0.19612	kappa = 0.19144
0.1	0.78	0.15	40	3		cusA = 0.64762	cusE = 4.92381	precision = 0.11556	recall = 0.64762	f-meter = 0.19612	kappa = 0.19144
0.1	0.78	0.15	45	3		cusA = 0.64762	cusE = 4.92381	precision = 0.11556	recall = 0.64762	f-meter = 0.19612	kappa = 0.19144
0.1	0.78	0.15	50	3		cusA = 0.64762	cusE = 4.92381	precision = 0.11556	recall = 0.64762	f-meter = 0.19612	kappa = 0.19144
0.1	0.78	0.15	55	3		cusA = 0.64762	cusE = 4.92381	precision = 0.11556	recall = 0.64762	f-meter = 0.19612	kappa = 0.19144
0.1	0.78	0.15	60	3		cusA = 0.66984	cusE = 4.77778	precision = 0.12273	recall = 0.66984	f-meter = 0.20745	kappa = 0.20282
0.1	0.78	0.15	65	3		cusA = 0.66984	cusE = 4.77778	precision = 0.12273	recall = 0.66984	f-meter = 0.20745	kappa = 0.20282
0.1	0.78	0.15	70	3		cusA = 0.66984	cusE = 4.77778	precision = 0.12273	recall = 0.66984	f-meter = 0.20745	kappa = 0.20282
0.1	0.78	0.15	75	3		cusA = 0.66984	cusE = 4.77778	precision = 0.12273	recall = 0.66984	f-meter = 0.20745	kappa = 0.20282
0.1	0.78	0.15	80	3		cusA = 0.64762	cusE = 4.92381	precision = 0.11556	recall = 0.64762	f-meter = 0.19612	kappa = 0.19144
0.1	0.78	0.15	85	3		cusA = 0.66984	cusE = 4.77778	precision = 0.12273	recall = 0.66984	f-meter = 0.20745	kappa = 0.20282
0.1	0.78	0.15	90	3		cusA = 0.64762	cusE = 4.92381	precision = 0.11556	recall = 0.64762	f-meter = 0.19612	kappa = 0.19144
